sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250616.110882_S12,1,1,JN.1.49.2,JN.1.49.2,True,0.99987744,0.99984022,1.0
20250622.107736_S4,8,8,NY.9,NY.9,True,0.3366564,0.33667716,1.0
20250622.107747_S1,24,24,NY.9,NY.9,True,0.17366401,0.17362965,1.0
20250622.107757_S3,10,10,NB.1.8.1,NB.1.8.1,True,0.3081106,0.3081055,1.0
20250622.107771_S6,12,12,XFT,XFT,True,0.33167367,0.33121179,1.0
20250622.110711_S8,3,3,PY.4,LF.7.9.1,False,0.33333333,0.33331821,1.0
20250623.109228_S5,25,25,JN.2.3,JN.2.1,False,0.0577132,0.0577132,1.0
20250623.110076_S18,8,8,NF.1.5,JN.1.16.5,False,0.18525126,0.18525126,1.0
20250623.110272_S41,10,10,JN.1.16.5,JN.1.16.5,True,0.614936,0.61491886,1.0
20250623.110280_S37,9,9,LP.8,LP.8,True,0.34703553,0.34701526,1.0
20250623.110550_S25,4,4,XEC.2.4,XEC.2.4,True,0.38942608,0.38942665,1.0
20250623.110555_S9,26,26,PQ.5.1.1,PQ.5.1.1,True,0.03845918,0.03845918,1.0
20250623.111180_S2,11,11,LP.8.1.2,LP.8.1.2,True,0.44965018,0.44964159,1.0
20250623.111558_S10,2,2,LP.8.1.1,LP.8.1.1,True,0.95676759,0.95675893,1.0
20250623.111579_S13,3,3,XFG.2,XFG.2,True,0.75317293,0.75317287,1.0
20250623.111620_S14,12,12,NY.9,NY.9,True,0.28655814,0.28455002,1.0
20250623.111631_S22,37,37,XFG.3.8.1,XFG.3.8.1,True,0.06349123,0.06349123,1.0
20250623.111751_S16,31,31,JN.1.16.5,JN.1.16.5,True,0.54995813,0.55007318,1.0
20250623.111795_S17,7,7,XFG,XFG,True,0.9473975,0.94733395,1.0
20250623.111817_S11,4,4,XEQ,XEQ,True,0.68975186,0.68975186,1.0
20250623.112345_S7,4,4,KP.3.3,KP.3.3,True,0.69166899,0.69166843,1.0
20250623.112738_S15,373,373,JN.2.2,JN.2.2,True,0.03971808,0.03971808,1.0
20250624.109949_S29,33,33,XEA,XEA,True,0.04117742,0.04117742,1.0
20250624.110378_S21,7,7,XFC,XFC,True,0.29409087,0.29408274,1.0
20250624.110614_S31,20,20,NY.7,NY.7,True,0.04990336,0.04990286,1.0
20250624.110775_S38,88,88,LP.10,XEH,False,0.05032546,0.05032546,1.0
20250624.111452_S26,44,44,PF.2.4,PF.2.4,True,0.0236595,0.02366002,1.0
20250624.111566_S19,16,16,NY.9,NY.9,True,0.4120507,0.41185598,1.0
20250624.111597_S35,7,7,XFG.3.3,XFG.3.3,True,0.66243717,0.66243538,1.0
20250624.111642_S28,5,5,XFG,XFG,True,0.78765706,0.78765435,1.0
20250624.111785_S36,10,10,KP.4.2.2,KP.4.2.2,True,0.68559471,0.68559471,1.0
20250624.111804_S48,9,9,XFG.4.1,XFG.4.1,True,0.44943798,0.44943698,1.0
20250624.112092_S24,18,18,NY.3.5,NY.3.5,True,0.05550035,0.05548885,1.0
20250624.112096_S23,35,35,PP.1.1.1,PP.1.1.1,True,0.62288047,0.6227965,1.0
20250624.112257_S39,248,248,XEA,XEA,True,0.15184591,0.15184591,1.0
20250624.112637_S20,15,15,XEC.27.1,XEC.27.1,True,0.18037,0.18036987,1.0
20250624.112649_S27,10,10,XFG.5.2,XFG.9,False,0.1761157,0.1761052,1.0
20250625.104612_S51,13,13,XFG.2,XFG.2,True,0.373567,0.3735664,1.0
20250625.107756_S32,7,7,NY.19,NY.19,True,0.73253779,0.7325218,1.0
20250625.107762_S55,3,3,XFG.3.1.1,XFG.3.1.1,True,0.84487499,0.84487469,1.0
20250625.110006_S30,101,101,PA.1,PA.1,True,0.08772071,0.08772071,1.0
20250625.110385_S40,15,15,XEC.27,XEC.27,True,0.27258731,0.27256044,1.0
20250625.110387_S33,4,4,NY.13.3,NY.13.3,True,0.76673166,0.76672116,1.0
20250625.110392_S34,13,13,MC.19.1,MC.19.1,True,0.46262665,0.46257843,1.0
20250625.110571_S47,24,24,KP.3.3,KP.3.3,True,0.4546644,0.4546644,1.0
20250625.111886_S46,6,6,NY.19,NY.19,True,0.3209993,0.32128563,1.0
20250625.111981_S49,14,14,XFC.1.5,XFC.1.5,True,0.13932832,0.13932227,1.0
20250626.110389_S44,4,4,NY.19,NY.19,True,0.43632645,0.43628457,1.0
20250626.111157_S54,16,16,PY.1.1.1,PY.1.1.1,True,0.27625199,0.27623435,1.0
20250626.111190_S45,18,18,LP.8.1.1,LP.8.1.1,True,0.54548368,0.5455312,1.0
20250626.111323_S52,110,110,MC.28.1,MC.28.1,True,0.06501376,0.06501376,1.0
20250626.112186_S50,8,9,XFC.3,XFC.3,True,0.1728031,0.17278708,0.8888888888888888
20250626.112447_S53,15,15,NY.19,NY.19,True,0.1751239,0.1750812,1.0
20250629.104656_S74,3,3,LF.7.1.6,LF.7.1.6,True,0.48849359,0.48845819,1.0
20250629.111362_S76,2,2,XFG.2,XFG.2,True,0.49999999,0.49999999,1.0
20250629.111661_S63,10,10,XFG.3.4,XFG.3.4,True,0.3208735,0.32086529,1.0
20250629.112434_S65,9,9,XDV.1.5,XDV.1.5,True,0.31663986,0.31662652,1.0
20250629.112448_S62,12,12,NW.1.7,NW.1.7,True,0.37976301,0.37976633,1.0
20250629.112480_S59,7,7,MC.33.1.1,MC.33.1.1,True,0.48634673,0.48630463,1.0
20250629.112501_S60,13,13,XFG,XFG,True,0.38430651,0.38429004,1.0
20250630.109008_S79,7,7,XFG.3,XFG.3,True,0.29536177,0.29536177,1.0
20250630.109255_S69,4,4,NY.3,NY.3.3,False,0.24990453,0.24989331,1.0
20250630.109923_S70,7,7,XFG.4,XFG.4,True,0.24783182,0.24782538,1.0
20250630.110036_S64,2,2,PQ.2,PQ.2,True,0.72763028,0.72763349,1.0
20250630.110203_S82,8,8,XFG.2,XFG.2,True,0.72815499,0.72814984,1.0
20250630.110413_S57,10,10,LP.4,LP.4,True,0.09981963,0.09981963,1.0
20250630.110609_S77,16,16,XEH,XEH,True,0.87201482,0.87187486,1.0
20250630.110686_S78,43,43,JN.1.18.6,XEL,False,0.08179761,0.08179761,1.0
20250630.111188_S58,6,6,XFG.3.5,XFG.3.5,True,0.64575449,0.64575176,1.0
20250630.111432_S68,5,5,PQ.4,PQ.4,True,0.60384171,0.60384461,1.0
20250630.111678_S4,4,4,KP.3.6,KP.3.6,True,0.26164897,0.26163167,1.0
20250630.111769_S75,7,7,MC.33.1.1,MC.33.1.1,True,0.23542362,0.23542362,1.0
20250630.111773_S72,1,1,JN.1.16.5,JN.1.16.5,True,0.99904858,0.99904858,1.0
20250630.111788_S67,36,36,JN.5,XDT,False,0.02843158,0.02843158,1.0
20250630.111856_S92,1,1,XFW.1,XFW.1,True,0.9999911,0.9999911,1.0
20250630.112264_S71,2,2,XFG.4.1,XFG.4.1,True,0.753747,0.75374544,1.0
