sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity,discordance_reason
20250622.110711_S8,3,3,PY.4,LF.7.9.1,False,0.33333333,0.33331821,1.0,Different dominant
20250623.109228_S5,25,25,JN.2.3,JN.2.1,False,0.0577132,0.0577132,1.0,Different dominant
20250623.110076_S18,8,8,NF.1.5,JN.1.16.5,False,0.18525126,0.18525126,1.0,Different dominant
20250624.110775_S38,88,88,LP.10,XEH,False,0.05032546,0.05032546,1.0,Different dominant
20250624.112649_S27,10,10,XFG.5.2,XFG.9,False,0.1761157,0.1761052,1.0,Different dominant
20250630.109255_S69,4,4,NY.3,NY.3.3,False,0.24990453,0.24989331,1.0,Different dominant
20250630.110686_S78,43,43,JN.1.18.6,XEL,False,0.08179761,0.08179761,1.0,Different dominant
20250630.111788_S67,36,36,JN.5,XDT,False,0.02843158,0.02843158,1.0,Different dominant
20250701.111526_S81,212,212,QB.1,LF.7.1.13,False,0.34347849,0.34347693,1.0,Different dominant
20250701.111784_S97,50,50,PP.1.1,NW.1.5,False,0.02035639,0.02035639,1.0,Different dominant
20250702.110363_S93,6,6,XFG.17,XFG,False,0.18920299,0.18919548,1.0,Different dominant
20250702.112297_S107,3,3,XFG.22,XFG.9,False,0.49063774,0.49063189,1.0,Different dominant
20250707.111647_S11,14,14,NY.11,LP.8.1.2,False,0.21202522,0.21206614,1.0,Different dominant
20250707.111813_S10,5,5,XFG.3.1,XFG.3.1.4,False,0.24956499,0.24953068,1.0,Different dominant
20250708.112644_S21,3,3,XFG.12,XFG.29,False,0.33312445,0.33311889,1.0,Different dominant
20250709.110405_S42,3,4,KP.1.2,KP.1.2,True,0.86823785,0.8682974,0.75,Low similarity (<0.8)
20250710.112500_S54,7,7,XFG.10.1,XFG.12,False,0.16622749,0.16620917,1.0,Different dominant
20250714.111791_S23,3,3,NY.13.3,NY.13.2,False,0.33318226,0.33319634,1.0,Different dominant
20250714.112467_S12,3,3,PQ.13.1,PQ.17,False,0.33273829,0.33275483,1.0,Different dominant
20250715.111549_S26,5,5,NY.3.1,NY.3.5,False,0.19979337,0.19978855,1.0,Different dominant
20250715.111797_S22,14,14,NY.7,LP.8.1.6,False,0.35152855,0.35127558,1.0,Different dominant
20250716.112044_S33,8,8,XFG.16,XFG,False,0.4324156,0.43242476,1.0,Different dominant
20250716.112110_S43,6,6,XFG.5,XFG.9,False,0.24444847,0.24444861,1.0,Different dominant
20250721.110088_S10,4,4,XFG.12,XFG.5,False,0.24962793,0.24962929,1.0,Different dominant
20250722.110511_S39,6,7,XFJ,XFJ.3,False,0.3448051,0.34482517,0.8571428571428571,Different dominant
20250723.112239_S47,13,13,XFG.3.10,XFG.3.5,False,0.07681635,0.07681593,1.0,Different dominant
20250723.112296_S3,4,4,XFG.31,XFG.30,False,0.31678117,0.31678072,1.0,Different dominant
20250728.111766_S5,396,396,LP.10.1.1,JN.1,False,0.00252159,0.00252159,1.0,Different dominant
20250728.111767_S33,14,14,XFG.2.2,XFG.2.3,False,0.14777867,0.1477782,1.0,Different dominant
20250729.112193_S44,123,123,BA.2.78,XE,False,0.00814875,0.00814875,1.0,Different dominant
20250730.111202_S32,5,5,XFG.9,XFG.4,False,0.32242834,0.32242358,1.0,Different dominant
20250730.112548_S38,7,7,XFG.3.1.4,XFG.3.1.2,False,0.16956789,0.16956736,1.0,Different dominant
20250730.112792_S42,10,10,XFG,XFG.16,False,0.29418023,0.29417663,1.0,Different dominant
20250730.BL2_S54,74,74,EG.4.1,XDG,False,0.01357972,0.01357972,1.0,Different dominant
20250730.TW_S53,5,5,B.20,B,False,0.47616073,0.47612278,1.0,Different dominant
20250804.112331_S11,4,4,XFG.4,XFG.9,False,0.34665699,0.34665576,1.0,Different dominant
20250806.BL2_S57,29,29,BE.2,CQ.2,False,0.03754542,0.03754542,1.0,Different dominant
20250818.112112_S29,7,7,XFG.30,XFG.5.1,False,0.19580304,0.19580421,1.0,Different dominant
20250818.112641_S41,12,12,XFG.3.4,XFG.3.4.1,False,0.42713921,0.42713931,1.0,Different dominant
20250902.112492_S23,4,4,XFG.3.5,XFG.3.12,False,0.24987953,0.24985829,1.0,Different dominant
250422.107834_S30_L001,4,4,PF.2,LP.8.1.6,False,0.49665992,0.4966596,1.0,Different dominant
250810.112511_S7,19,19,PQ.28,NB.1.8.1,False,0.32659602,0.32659305,1.0,Different dominant
250811.112439_S28,7,7,XFG.4,XFG.28,False,0.14282864,0.14282224,1.0,Different dominant
250811.113418_S32,12,12,XFG.25,XFG.5,False,0.13297866,0.13297866,1.0,Different dominant
